,Err
1stFlrSF,0.15801304250149195
2ndFlrSF,0.1487187630733126
3SsnPorch,0.15906898902059535
BedroomAbvGr,0.14966821896503732
BsmtFinSF1,0.17697727824276827
BsmtFinSF2,0.16724976462119992
BsmtFullBath,0.15210623061452322
BsmtHalfBath,0.15942939904014652
BsmtUnfSF,0.24003541647219473
EnclosedPorch,0.16505636788824204
Fireplaces,0.11957530486246101
FullBath,0.10245704568757757
GarageArea,0.10689471849570964
GarageCars,0.08231908411728475
GarageYrBlt,0.11639002756207023
GrLivArea,0.1253852959675391
HalfBath,0.14231271902288056
Id,0.31650915817582204
KitchenAbvGr,0.15515330428045188
LotArea,0.20075605369852578
LotFrontage,0.1454660108623705
LowQualFinSF,0.16438440615847932
MSSubClass,0.10862996345690931
MasVnrArea,0.1726914865674588
MiscVal,0.16017342227973513
MoSold,0.1610550804699996
OpenPorchSF,0.15273060358332852
OverallCond,0.1380937563071739
OverallQual,0.05313863386819678
PoolArea,0.16050997728487373
ScreenPorch,0.1624891727168571
TotRmsAbvGrd,0.11173185527518373
TotalBsmtSF,0.13998015838087557
WoodDeckSF,0.1724518864420505
YearBuilt,0.10074041121056224
YearRemodAdd,0.11111360135979034
YrSold,0.16054187023108163
